task_id,priority,field_class,path,target_csv,current_source_category,current_value,required_source,acceptable_source_categories,current_papers_can_fill,note
LEGDATA-001,P0,coordinate_system,coordinate_system.rocket_body_origin,coordinate_system.csv,missing_required,,CAD/Adams frame export or author frame metadata,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-002,P0,coordinate_system,coordinate_system.rocket_body_axes,coordinate_system.csv,missing_required,,CAD/Adams frame export or author frame metadata,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-003,P0,coordinate_system,coordinate_system.deck_frame_transform,coordinate_system.csv,missing_required,,CAD/Adams frame export or author frame metadata,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-004,P0,azimuths,legs[0].azimuth_deg,leg_azimuths.csv,engineering_assumption,45.0,CAD/Adams leg layout export or published four-leg azimuth table,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-005,P0,marker_coordinates,legs[0].adams_equivalent_geometry.B_rocket_marker_xyz_m.x,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-006,P0,marker_coordinates,legs[0].adams_equivalent_geometry.B_rocket_marker_xyz_m.y,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-007,P0,marker_coordinates,legs[0].adams_equivalent_geometry.T_rocket_marker_xyz_m.x,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-008,P0,marker_coordinates,legs[0].adams_equivalent_geometry.T_rocket_marker_xyz_m.y,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-009,P0,marker_coordinates,legs[0].adams_equivalent_geometry.K_rocket_marker_xyz_m.x,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-010,P0,marker_coordinates,legs[0].adams_equivalent_geometry.K_rocket_marker_xyz_m.y,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-011,P0,marker_coordinates,legs[0].adams_equivalent_geometry.P_footpad_marker_xyz_m.x,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-012,P0,marker_coordinates,legs[0].adams_equivalent_geometry.P_footpad_marker_xyz_m.y,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-013,P0,marker_coordinates,legs[0].adams_equivalent_geometry.P_footpad_marker_xyz_m.z,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
